uuid,title_en,title_fr,short_form_en,short_form_fr,department_number,umd_number,open_canada_id
e992a47e-98bd-4939-8878-c93fc5a46eb7,Canada Housing Trust,Fiducie du Canada pour l'habitation,CHT,FCPL,,373,cht-fcpl
5b074ece-dc3c-4091-a90e-7e419a186b38,Canada Industrial Relations Board,Conseil canadien des relations industrielles,CIRB,CCRI,,20,cirb-ccri
6ed8957d-b77e-48b3-836b-b46620ae9c7e,Canada Infrastructure Bank,La Banque de l'infrastructure du Canada,CIB,BIC,0001,358,cib-bic
ee5e54b6-0c78-4635-92a7-2b7299045116,Canada Innovation Corporation,La Corporation d'innovation du Canada,ciccdev,ciccdev,148,141,ciccdev
26ca334b-50ba-4a50-a4a6-c771a11e3e48,Canada Lands Company CLC Limited,Société immobilière du Canada CLC limitée,CLCCL,SICCL,,370,clccl-siccl
cec34510-faab-4722-9787-0245dd0cfa58,Canada Lands Company Limited,Société immobilière du Canada Limitée,CLCL,SICL,82,147,clcl-sicl
05afe8d4-be53-4853-b529-a79c78757969,Canada Mortgage and Housing Corporation,Société canadienne d'hypothèques et de logement,CMHC,SCHL,87,149,cmhc-schl
bb5fdf62-75d4-501f-a00b-e09c5eff6eb4,Canada-Newfoundland and Labrador Offshore Petroleum Board,Office Canada–Terre-Neuve-et Labrador des hydrocarbures extracôtiers,CNLOPB,CNLOPB,51,152,cnlopb
16986d6d-7666-572f-a951-0d32630faca3,Canada-Nova Scotia Offshore-Petroleum Board,Office Canada-Nouvelle-Écosse des hydrocarbures extracôtiers,CNSOPB,CNSOPB,95,153,cnsopb
ab335a43-ba88-4d3d-8b28-0c461019ebf6,Canada Pension Plan Investment Board,L'Office d'investment du Régime de pensions du Canada,cppib,oirpc,0002,150,cppib-oirpc
d5a06ab7-88f9-45fa-8903-6245fd48216c,Canada Post,Postes Canada,CPC,SCP,83,151,cpc-scp
88b6ee4b-aa19-475b-b92a-2a80260806c2,Canada Revenue Agency,Agence du revenu du Canada,CRA,ARC,47,72,cra-arc
892b1e0c-3389-4c9f-a6f0-92fe653016c1,Canada School of Public Service,École de la fonction publique du Canada,CSPS,EFPC,73,15,csps-efpc
6fdf2204-b9e0-40c3-8d1d-f23e08d7a072,Canada Science and Technology Museum,Musée des sciences et de la technologie du Canada,CSTM,MSTC,202,216,cstm-mstc
4c1993ea-043d-4934-b0d1-810b8643f1a4,Canada TMP Finance Ltd.,Financière Canada TMP Ltée,TMP,TMP,,,tmp
293bed0d-fb8a-4946-bfb0-44a69d8fd789,Canada Water Agency,Agence de l'eau du Canada,CWA,AEC,,,cwa-aec
