gc_orgID,Parent GC OrgID,Harmonized GC Name ,lead department,ministère responsable,gc_orgID.1
3642,2269,Canada Infrastructure Bank,"Housing, Infrastructure and Communities Canada","Logement, Infrastructures et Collectivités Canada",2269.0
3643,2269,The Jacques-Cartier and Champlain Bridges Inc.,"Housing, Infrastructure and Communities Canada","Logement, Infrastructures et Collectivités Canada",2269.0
3644,2269,Windsor-Detroit Bridge Authority,"Housing, Infrastructure and Communities Canada","Logement, Infrastructures et Collectivités Canada",2269.0
3645,nan,PPP Canada Inc.,,,
2224,2224,"Immigration, Refugees and Citizenship Canada","Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",2224.0
2261,2224,Immigration and Refugee Board of Canada,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",2224.0
2243,2243,Indigenous Services Canada,Indigenous Services Canada,Services aux Autochtones Canada,2243.0
2299,m0008,Federal Economic Development Agency for Northern Ontario,Minister of Indigenous Services,Ministre des Services aux Autochtones,
2251,2231,Canadian Space Agency,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",2231.0
2254,2231,Copyright Board Canada,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",2231.0
2293,2231,Statistics Canada,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",2231.0
2313,2231,National Research Council Canada,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",2231.0
2314,2231,Natural Sciences and Engineering Research Council of Canada,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",2231.0
2316,2231,Social Sciences and Humanities Research Council of Canada,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",2231.0
3537,2231,Canadian Intellectual Property Office,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",2231.0
3542,2231,Measurement Canada,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",2231.0
3546,2231,Industrial Technologies Office,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",2231.0
3646,2231,Business Development Bank of Canada,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",2231.0
3647,2231,Destination Canada,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",2231.0
3648,2231,Standards Council of Canada,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",2231.0
2231,2231,"Innovation, Science and Economic Development Canada","Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",2231.0
3564,2231,Competition Tribunal,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",2231.0
2247,2232,Canadian Human Rights Commission,Department of Justice Canada,Ministère de la Justice Canada,2232.0
2256,2232,Courts Administration Service,Department of Justice Canada,Ministère de la Justice Canada,2232.0
2272,2232,Office of the Commissioner for Federal Judicial Affairs Canada,Department of Justice Canada,Ministère de la Justice Canada,2232.0
2277,2232,Public Prosecution Service of Canada,Department of Justice Canada,Ministère de la Justice Canada,2232.0
2281,2232,Office of the Information Commissioner,Department of Justice Canada,Ministère de la Justice Canada,2232.0
2282,2232,Office of the Privacy Commissioner of Canada,Department of Justice Canada,Ministère de la Justice Canada,2232.0
2287,2232,Registrar of the Supreme Court of Canada,Department of Justice Canada,Ministère de la Justice Canada,2232.0
2297,2232,Administrative Tribunals Support Service of Canada,Department of Justice Canada,Ministère de la Justice Canada,2232.0
