RGOriginalName,MatchedName,MatchScore,ManualMatch,FinalMatch,GC OrgID_x,Organization Legal Name French_x,Updated Organization Legal Name English,GC OrgID_y,Organization Legal Name French_y,Updated GC OrgID,Updated Organization Legal Name French
Payroll System General Ledger,Payroll System General Ledger,100,nan,nan,3548,Grand livre général du système de la paye,,,,,
Registrar of the Supreme Court of Canada,Registrar of the Supreme Court of Canada,100,nan,nan,2287,Registraire de la Cour suprême du Canada,,,,,
Canada Border Services Agency,Canada Border Services Agency,100,nan,nan,2300,Agence des services frontaliers du Canada,,,,,
Fisheries and Oceans (Department of),Department of Fisheries and Oceans,95,nan,nan,2226,Ministère des Pêches et des Océans,,,,,
Public Service Superannuation,Public Service Superannuation,100,nan,nan,3549,Pension de retraite de la fonction publique,,,,,
Public Safety and Emergency Preparedness (Department of),Department of Public Safety and Emergency Preparedness,95,nan,nan,2235,Ministère de la Sécurité publique et de la Protection civile,,,,,
Canada Mortgage and Housing Corporation (Crown Corporation),Canada Mortgage and Housing Corporation,95,nan,nan,3631,Société canadienne d’hypothèques et de logement,,,,,
Canadian Security Intelligence Service,Canadian Security Intelligence Service,100,nan,nan,2250,Service canadien du renseignement de sécurité,,,,,
Offices of the Information and Privacy Commissioners of Canada,Aboriginal Business Canada,86,nan,nan,3599,Entreprise autochtone Canada,,,,,
Receiver General,Office of the Auditor General,86,nan,nan,2270,Bureau du vérificateur général,,,,,
Canadian Centre for Occupational Health and Safety,Canadian Centre for Occupational Health and Safety,100,nan,nan,2305,Centre canadien d’hygiène et de sécurité au travail,,,,,
Canadian Transportation Accident Investigation and Safety Board,Canadian Transportation Accident Investigation and Safety Board,100,nan,nan,2309,Bureau canadien d'enquête sur les accidents de transport et de la sécurité des transports,,,,,
The National Battlefields Commission,The National Battlefields Commission,100,nan,nan,2311,Commission des champs de bataille nationaux,,,,,
Patented Medicine Prices Review Board,Patented Medicine Prices Review Board,100,nan,nan,2283,Conseil d’examen du prix des médicaments brevetés,,,,,
Copyright Board,Copyright Board,100,nan,nan,2254,Commission du droit d’auteur,,,,,
Canadian Space Agency,Canadian Space Agency,100,nan,nan,2251,Agence spatiale canadienne,,,,,
Canada Revenue Agency - (Administered Activities),Canada Revenue Agency,90,nan,nan,2303,Agence du revenu du Canada,,,,,
Export Development Canada (Crown Corporation),Export Development Canada,90,nan,nan,3640,Exportation et développement Canada,,,,,
Parks Canada Agency,Parks Canada Agency,100,nan,nan,2315,Agence Parcs Canada,,,,,
Public Works and Government Services (Department of),Department of Public Works and Government Services,95,nan,nan,2236,Ministère des Travaux publics et des Services gouvernementaux,,,,,
Canada Revenue Agency,Canada Revenue Agency,100,nan,nan,2303,Agence du revenu du Canada,,,,,
Law Commission of Canada,Law Commission of Canada,100,nan,nan,2310,Commission du droit du Canada,,,,,
Canadian Grain Commission,Canadian Grain Commission,100,nan,nan,2246,Commission canadienne des grains,,,,,
Canadian Dairy Commission,Canadian Dairy Commission,100,nan,nan,3615,Commission canadienne du lait,,,,,
