RGOriginalName,MatchedName,MatchScore,Organization Legal Name English,GC OrgID
Department of Crown-Indigenous Relations and Northern Affairs,Department of Crown-Indigenous Relations and Northern Affairs,100,Department of Crown-Indigenous Relations and Northern Affairs,2230
Canadian Intergovernmental Conference Secretariat,Canadian Intergovernmental Conference Secretariat,100,Canadian Intergovernmental Conference Secretariat,2248
Western Economic Diversification (Department of),Department of Western Economic Diversification,95,Department of Western Economic Diversification,2240
Office of the Public Sector Integrity Commissioner,Office of the Public Sector Integrity Commissioner,100,Office of the Public Sector Integrity Commissioner,2279
Canadian Nuclear Safety Commission,Canadian Nuclear Safety Commission,100,Canadian Nuclear Safety Commission,2308
Citizenship and Immigration (Department of),Department of Citizenship and Immigration,95,Department of Citizenship and Immigration,2224
Office of the Commissioner for Federal Judicial Affairs,Office of the Commissioner for Federal Judicial Affairs,100,Office of the Commissioner for Federal Judicial Affairs,2272
Canada School of Public Service,Canada School of Public Service,100,Canada School of Public Service,2304
Correctional Service of Canada,Correctional Service of Canada,100,Correctional Service of Canada,2255
Statistics Canada,Statistics Canada,100,Statistics Canada,2293
Treasury Board Secretariat,Treasury Board Secretariat,100,Treasury Board Secretariat,2242
Parole Board of Canada,Parole Board of Canada,100,Parole Board of Canada,2267
Canadian Institutes of Health Research,Canadian Institutes of Health Research,100,Canadian Institutes of Health Research,2307
Federal Economic Development Agency for Southern Ontario,Federal Economic Development Agency for Southern Ontario,100,Federal Economic Development Agency for Southern Ontario,2258
Social Sciences and Humanities Research Council,Social Sciences and Humanities Research Council,100,Social Sciences and Humanities Research Council,2316
Northern Pipeline Agency,Northern Pipeline Agency,100,Northern Pipeline Agency,2268
House of Commons,House of Commons,100,House of Commons,3428
Canadian Human Rights Commission,Canadian Human Rights Commission,100,Canadian Human Rights Commission,2247
Office of the Commissioner of Official Languages,Office of the Commissioner of Official Languages,100,Office of the Commissioner of Official Languages,2274
Canadian Northern Economic Development Agency,Canadian Northern Economic Development Agency,100,Canadian Northern Economic Development Agency,2249
Payroll System General Ledger,Payroll System General Ledger,100,Payroll System General Ledger,3548
Registrar of the Supreme Court of Canada,Registrar of the Supreme Court of Canada,100,Registrar of the Supreme Court of Canada,2287
Canada Border Services Agency,Canada Border Services Agency,100,Canada Border Services Agency,2300
Fisheries and Oceans (Department of),Department of Fisheries and Oceans,95,Department of Fisheries and Oceans,2226
Public Service Superannuation,Public Service Superannuation,100,Public Service Superannuation,3549
Public Safety and Emergency Preparedness (Department of),Department of Public Safety and Emergency Preparedness,95,Department of Public Safety and Emergency Preparedness,2235
Canada Mortgage and Housing Corporation (Crown Corporation),Canada Mortgage and Housing Corporation,95,Canada Mortgage and Housing Corporation,3631
Canadian Security Intelligence Service,Canadian Security Intelligence Service,100,Canadian Security Intelligence Service,2250
Offices of the Information and Privacy Commissioners of Canada,,86,,
Receiver General,,86,,
Canadian Centre for Occupational Health and Safety,Canadian Centre for Occupational Health and Safety,100,Canadian Centre for Occupational Health and Safety,2305
Canadian Transportation Accident Investigation and Safety Board,Canadian Transportation Accident Investigation and Safety Board,100,Canadian Transportation Accident Investigation and Safety Board,2309
The National Battlefields Commission,The National Battlefields Commission,100,The National Battlefields Commission,2311
Patented Medicine Prices Review Board,Patented Medicine Prices Review Board,100,Patented Medicine Prices Review Board,2283
Copyright Board,Copyright Board,100,Copyright Board,2254
Canadian Space Agency,Canadian Space Agency,100,Canadian Space Agency,2251
Canada Revenue Agency - (Administered Activities),Canada Revenue Agency,90,Canada Revenue Agency,2303
Export Development Canada (Crown Corporation),Export Development Canada,90,Export Development Canada,3640
Parks Canada Agency,Parks Canada Agency,100,Parks Canada Agency,2315
Public Works and Government Services (Department of),Department of Public Works and Government Services,95,Department of Public Works and Government Services,2236
Canada Revenue Agency,Canada Revenue Agency,100,Canada Revenue Agency,2303
Law Commission of Canada,Law Commission of Canada,100,Law Commission of Canada,2310
Canadian Grain Commission,Canadian Grain Commission,100,Canadian Grain Commission,2246
Canadian Dairy Commission,Canadian Dairy Commission,100,Canadian Dairy Commission,3615
Canadian Heritage (Department of),Department of Canadian Heritage,95,Department of Canadian Heritage,2223
Canadian Food Inspection Agency,Canadian Food Inspection Agency,100,Canadian Food Inspection Agency,2306
Military Police Complaints Commission,Military Police Complaints Commission,100,Military Police Complaints Commission,2264
Military Grievances External Review Committee,Military Grievances External Review Committee,100,Military Grievances External Review Committee,2263
Financial Transactions and Reports Analysis Centre of Canada,Financial Transactions and Reports Analysis Centre of Canada,100,Financial Transactions and Reports Analysis Centre of Canada,2260
Financial Consumer Agency of Canada,Financial Consumer Agency of Canada,100,Financial Consumer Agency of Canada,2259
Office of Infrastructure of Canada,Department of Housing, Infrastructure and Communities,86,Department of Housing, Infrastructure and Communities,2269
Courts Administration Service,Courts Administration Service,100,Courts Administration Service,2256
Library and Archives of Canada,Library and Archives of Canada,100,Library and Archives of Canada,2262
Office of the Conflict of Interest and Ethics Commissioner,Office of the Conflict of Interest and Ethics Commissioner,100,Office of the Conflict of Interest and Ethics Commissioner,3430
Public Health Agency of Canada,Public Health Agency of Canada,100,Public Health Agency of Canada,2285
Office of the Senate Ethics Officer,,90,,
Office of the Commissioner of Lobbying,Office of the Commissioner of Lobbying,100,Office of the Commissioner of Lobbying,2273
Shared Services Canada,Shared Services Canada,100,Shared Services Canada,2292
Communications Security Establishment,Communications Security Establishment,100,Communications Security Establishment,2253
Administrative Tribunals Support Service of Canada,Administrative Tribunals Support Service of Canada,100,Administrative Tribunals Support Service of Canada,2297
Canadian High Arctic Research Station,Canadian High Arctic Research Station,100,Canadian High Arctic Research Station,2318
Parliamentary Protective Service,Parliamentary Protective Service,100,Parliamentary Protective Service,3434
Invest in Canada Hub,Invest in Canada Hub,100,Invest in Canada Hub,2317
Office of the Parliamentary Budget Officer,Office of the Parliamentary Budget Officer,100,Office of the Parliamentary Budget Officer,3433
Department for Women and Gender Equality,Department for Women and Gender Equality,100,Department for Women and Gender Equality,2241
Department of Indigenous Services,Department of Indigenous Services,100,Department of Indigenous Services,2243
Secretariat of the National Security and Intelligence Committee of Parliamentarians,Secretariat of the National Security and Intelligence Committee of Parliamentarians,100,Secretariat of the National Security and Intelligence Committee of Parliamentarians,2295
Leaders' Debates Commission,Leaders’ Debates Commission,100,Leaders’ Debates Commission,2296
Canadian Energy Regulator,Canadian Energy Regulator,100,Canadian Energy Regulator,2312
National Security and Intelligence Review Agency Secretariat,National Security and Intelligence Review Agency Secretariat,100,National Security and Intelligence Review Agency Secretariat,2291
Office of the Intelligence Commissioner,Office of the Intelligence Commissioner,100,Office of the Intelligence Commissioner,2275
Canadian Accessibility Standards Development Organization,Canadian Accessibility Standards Development Organization,100,Canadian Accessibility Standards Development Organization,2319
Federal Economic Development Agency for Northern Ontario,Federal Economic Development Agency for Northern Ontario,100,Federal Economic Development Agency for Northern Ontario,2299
