,English Name,French Name
0,Atlantic Pilotage Authority,Administration de pilotage de l’Atlantique
1,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée"
2,Business Development Bank of Canada,Banque de développement du Canada
3,Canada Deposit Insurance Corporation,Société d’assurance-dépôts du Canada
4,Canada Infrastructure Bank,Banque de l’infrastructure du Canada
5,Canada Lands Company Limited,Société immobilière du Canada Limitée
6,Canada Mortgage and Housing Corporation,Société canadienne d’hypothèques et de logement
7,Canada Post Corporation,Société canadienne des postes
8,Canadian Air Transport Security Authority,Administration canadienne de la sûreté du transport aérien
9,Canadian Commercial Corporation,Corporation commerciale canadienne
10,Canadian Dairy Commission,Commission canadienne du lait
11,Canadian Museum for Human Rights,Musée canadien des droits de la personne
12,Canadian Museum of History,Musée canadien de l’histoire
13,Canadian Museum of Immigration at Pier 21,Musée canadien de l’immigration du Quai 21
14,Canadian Museum of Nature,Musée canadien de la nature
15,Canadian Tourism Commission,Commission canadienne du tourisme
16,Defence Construction (1951) Limited,Construction de défense (1951) Limitée
17,Export Development Canada,Exportation et développement Canada
18,Farm Credit Canada,Financement agricole Canada
19,The Federal Bridge Corporation Limited,La Société des ponts fédéraux Limitée
20,Freshwater Fish Marketing Corporation,Office de commercialisation du poisson d’eau douce
21,Great Lakes Pilotage Authority,Administration de pilotage des Grands Lacs
22,The Jacques-Cartier and Champlain Bridges Inc.,Les Ponts Jacques-Cartier et Champlain Inc.
23,Laurentian Pilotage Authority,Administration de pilotage des Laurentides
24,Marine Atlantic Inc.,Marine Atlantique S.C.C.
25,National Capital Commission,Commission de la capitale nationale
26,National Gallery of Canada,Musée des beaux-arts du Canada
27,National Museum of Science and Technology,Musée national des sciences et de la technologie
28,Pacific Pilotage Authority,Administration de pilotage du Pacifique
29,Standards Council of Canada,Conseil canadien des normes
30,VIA Rail Canada Inc.,VIA Rail Canada Inc.
31,Windsor-Detroit Bridge Authority,Autorité du pont Windsor-Détroit
