GC OrgID,legal_title,appellation_légale,FAA_LGFP,preferred_name,nom_préféré,abbreviation,abreviation,status_statut,end_date_fin,harmonized_name,nom_harmonisé
2253,Communications Security Establishment,Centre de la sécurité des télécommunications,i1,Communications Security Establishment Canada,Centre de la sécurité des télécommunications Canada,CSE,CST,a,,Communications Security Establishment Canada,Centre de la sécurité des télécommunications Canada
2254,Copyright Board,Commission du droit d'auteur,i1,Copyright Board Canada,Commission du droit d'auteur Canada,CB,CDA,a,,Copyright Board Canada,Commission du droit d'auteur Canada
2255,Correctional Service of Canada,Service correctionnel du Canada,i1,Correctional Service Canada,Service correctionnel Canada,CSC,SCC,a,,Correctional Service Canada,Service correctionnel Canada
2256,Courts Administration Service,Service administratif des tribunaux judiciaires,i1,Courts Administration Service,Service administratif des tribunaux judiciaires,CAS,SATJ,a,,Courts Administration Service,Service administratif des tribunaux judiciaires
2257,Economic Development Agency of Canada for the Regions of Quebec,Agence de développement économique du Canada pour les régions du Québec,i1,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec,CED,DEC,a,,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2258,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario,i1,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario,FedDev Ontario,FedDev Ontario,a,,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario
2259,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada,i1,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada,FCAC,ACFC,a,,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada
2260,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,i1,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,FINTRAC,CANAFE,a,,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada
2261,Immigration and Refugee Board,Commission de l'immigration et du statut de réfugié,i1,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada,IRB,CISR,a,,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada
2262,Library and Archives of Canada,Bibliothèque et Archives du Canada,i1,Library and Archives Canada,Bibliothèque et Archives Canada,LAC,BAC,a,,Library and Archives Canada,Bibliothèque et Archives Canada
2263,Military Grievances External Review Committee,Comité externe d'examen des griefs militaires,i1,Military Grievances External Review Committee,Comité externe d'examen des griefs militaires,MGERC,CEEGM,a,,Military Grievances External Review Committee,Comité externe d'examen des griefs militaires
2264,Military Police Complaints Commission,Commission d'examen des plaintes concernant la police militaire,i1,Military Police Complaints Commission of Canada,Commission d'examen des plaintes concernant la police militaire du Canada,MPCC,CPPM,a,,Military Police Complaints Commission of Canada,Commission d'examen des plaintes concernant la police militaire du Canada
2265,National Farm Products Council,Conseil national des produits agricoles,i1,Farm Products Council of Canada,Conseil des produits agricoles du Canada,FPCC,CPAC,a,,Farm Products Council of Canada,Conseil des produits agricoles du Canada
2266,National Film Board,Office national du film,i1,,,NFB,ONF,a,,National Film Board,Office national du film
2267,Parole Board of Canada,Commission des libérations conditionnelles du Canada,i1,Parole Board of Canada,Commission des libérations conditionnelles du Canada,PBC,CLCC,a,,Parole Board of Canada,Commission des libérations conditionnelles du Canada
2268,Northern Pipeline Agency,Administration du pipe-line du Nord,i1,Northern Pipeline Agency Canada,Administration du pipe-line du Nord Canada,NPA,APN,a,,Northern Pipeline Agency Canada,Administration du pipe-line du Nord Canada
2269,"Department of Housing, Infrastructure and Communities","Ministère du Logement, de l'Infrastructure et des Collectivités",1,"Housing, Infrastructure and Communities Canada","Logement, Infrastructures et Collectivités Canada",HICC,LICC,a,,"Housing, Infrastructure and Communities Canada","Logement, Infrastructures et Collectivités Canada"
2270,Office of the Auditor General,Bureau du vérificateur général,i1,Office of the Auditor General of Canada,Bureau du vérificateur général du Canada,OAG,BVG,a,,Office of the Auditor General of Canada,Bureau du vérificateur général du Canada
2271,Office of the Chief Electoral Officer,Bureau du directeur général des élections,i1,,,elections,elections,a,,Office of the Chief Electoral Officer,Bureau du directeur général des élections
2272,Office of the Commissioner for Federal Judicial Affairs,Commissariat à la magistrature fédérale,i1,Office of the Commissioner for Federal Judicial Affairs Canada,Commissariat à la magistrature fédérale Canada,FJA,CMF,a,,Office of the Commissioner for Federal Judicial Affairs Canada,Commissariat à la magistrature fédérale Canada
2273,Office of the Commissioner of Lobbying,Commissariat au lobbying,i1,Office of the Commissioner of Lobbying of Canada,Commissariat au lobbying du Canada,OCL,CAL,a,,Office of the Commissioner of Lobbying of Canada,Commissariat au lobbying du Canada
2274,Office of the Commissioner of Official Languages,Commissariat aux langues officielles,i1,,,OCOL,CLO,a,,Office of the Commissioner of Official Languages,Commissariat aux langues officielles
2275,Office of the Intelligence Commissioner,Bureau du commissaire au renseignement,i1,,,,,a,,Office of the Intelligence Commissioner,Bureau du commissaire au renseignement
2276,Office of the Correctional Investigator of Canada,Bureau de l'enquêteur correctionnel du Canada,i1,The Correctional Investigator Canada,L'Enquêteur correctionnel Canada,OCI,BEC,a,,The Correctional Investigator Canada,L'Enquêteur correctionnel Canada
2277,Office of the Director of Public Prosecutions,Bureau du directeur des poursuites pénales,i1,Public Prosecution Service of Canada,Service des poursuites pénales du Canada,PPSC,SPPC,a,,Public Prosecution Service of Canada,Service des poursuites pénales du Canada
2278,Office of the Governor General's Secretary,Bureau du secrétaire du gouverneur général,i1,Office of the Secretary to the Governor General,Bureau du secrétaire du gouverneur général,OSGG,BSGG,a,,Office of the Secretary to the Governor General,Bureau du secrétaire du gouverneur général
2279,Office of the Public Sector Integrity Commissioner,Commissariat à l'intégrité du secteur public,i1,Office of the Public Sector Integrity Commissioner of Canada,Commissariat à l'intégrité du secteur public du Canada,PSIC,ISPC,a,,Office of the Public Sector Integrity Commissioner of Canada,Commissariat à l'intégrité du secteur public du Canada
2280,Office of the Superintendent of Financial Institutions,Bureau du surintendant des institutions financières,i1,Office of the Superintendent of Financial Institutions Canada,Bureau du surintendant des institutions financières Canada,OSFI,BSIF,a,,Office of the Superintendent of Financial Institutions Canada,Bureau du surintendant des institutions financières Canada
2281,Office of the Information Commissioner,Commissariat à l'information au Canada,4,,,,,a,,Office of the Information Commissioner,Commissariat à l'information au Canada
2282,Office of the Privacy Commissioner of Canada,Commissariat à la protection de la vie privée du Canada,4,,,,,a,,Office of the Privacy Commissioner of Canada,Commissariat à la protection de la vie privée du Canada
2283,Patented Medicine Prices Review Board,Conseil d'examen du prix des médicaments brevetés,i1,Patented Medicine Prices Review Board Canada,Conseil d'examen du prix des médicaments brevetés Canada,PMPRB,CEPMB,a,,Patented Medicine Prices Review Board Canada,Conseil d'examen du prix des médicaments brevetés Canada
2284,Privy Council Office,Bureau du Conseil privé,i1,Privy Council Office,Bureau du Conseil privé,PCO,BCP,a,,Privy Council Office,Bureau du Conseil privé
2285,Public Health Agency of Canada,Agence de la santé publique du Canada,i1,Public Health Agency of Canada,Agence de la santé publique du Canada,PHAC,ASPC,a,,Public Health Agency of Canada,Agence de la santé publique du Canada
2286,Public Service Commission,Commission de la fonction publique,i1,Public Service Commission of Canada,Commission de la fonction publique du Canada,PSC,CFP,a,,Public Service Commission of Canada,Commission de la fonction publique du Canada
