GC OrgID,Organization Legal Name English,Organization Legal Name French,French Name,FAA,Original English Name,Names Match
3451.0,Canadian Centre on Substance Use and Addictions,Centre canadien sur les dépendances et l'usage de substances,,,,0
3533.0,Canadian Coast Guard,Garde côtière canadienne,,,,0
3639.0,Canadian Commercial Corporation,Corporation commerciale canadienne,Corporation commerciale canadienne,3,Canadian Commercial Corporation,0
3534.0,Canadian Conservation Institute,Institut canadien de conservation,,,,0
3682.0,Canadian Cultural Property Export Review Board,Commission canadienne d'examen des exportations de biens culturels,,,,0
3615.0,Canadian Dairy Commission,Commission canadienne du lait,Commission canadienne du lait,4,Canadian Dairy Commission,0
2312.0,Canadian Energy Regulator,Régie canadienne de l'énergie,Régie canadienne de l'énergie,2,Canadian Energy Regulator,0
3452.0,Canadian Energy Research Institute,Canadian Energy Research Institute,,,,0
2306.0,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,Agence canadienne d'inspection des aliments,2,Canadian Food Inspection Agency,0
3535.0,Canadian Forces Housing Agency,Agence de logement des Forces canadiennes,,,,0
3520.0,Canadian Foundation for Climate and Atmospheric Sciences,Fondation canadienne pour les sciences du climat et de l'atmosphère,,,,0
3516.0,Canadian Foundation for Healthcare Improvement (CFHI),Fondation canadienne pour l'amélioration des services de santé (FCASS),,,,0
2246.0,Canadian Grain Commission,Commission canadienne des grains,Commission canadienne des grains,4,Canadian Grain Commission,0
3536.0,Canadian Heritage Information Network,Réseau canadien d'information sur le patrimoine,,,,0
2318.0,Canadian High Arctic Research Station,Station canadienne de recherche dans l'Extrême-Arctique,Station canadienne de recherche dans l'Extrême-Arctique,2,Canadian High Arctic Research Station,0
2247.0,Canadian Human Rights Commission,Commission canadienne des droits de la personne,Commission canadienne des droits de la personne,4,Canadian Human Rights Commission,0
3683.0,Canadian Human Rights Tribunal,Tribunal canadien des droits de la personne,,,,0
3453.0,Canadian Institute for Health Information (CIHI),Institut canadien d'information sur la santé (ICIS),,,,0
2307.0,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada,Instituts de recherche en santé du Canada,2,Canadian Institutes of Health Research,0
3537.0,Canadian Intellectual Property Office,Office de la propriété intellectuelle du Canada,,,,0
2248.0,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes,Secrétariat des conférences intergouvernementales canadiennes,4,Canadian Intergovernmental Conference Secretariat,0
3684.0,Canadian International Development Agency,Agence canadienne de développement international,,,,0
3521.0,Canadian International Grains Institute,Institut international du Canada pour le grain,,,,0
3685.0,Canadian International Trade Tribunal,Tribunal canadien du commerce extérieur,,,,0
3558.0,Canadian Judicial Council,Conseil canadien de la magistrature,,,,0
3454.0,Canadian Livestock Records Corporation,Société canadienne d'enregistrement des animaux,,,,0
3620.0,Canadian Museum for Human Rights,Musée canadien des droits de la personne,Musée canadien des droits de la personne,3,Canadian Museum for Human Rights,0
3602.0,Canadian Museum of Contemporary Photography,Musée canadien de la photographie contemporaine,,,,0
3621.0,Canadian Museum of History,Musée canadien de l'histoire,Musée canadien de l'histoire,3,Canadian Museum of History,0
3622.0,Canadian Museum of Immigration at Pier 21,Musée canadien de l'immigration du Quai 21,Musée canadien de l'immigration du Quai 21,3,Canadian Museum of Immigration at Pier 21,0
3623.0,Canadian Museum of Nature,Musée canadien de la nature,Musée canadien de la nature,3,Canadian Museum of Nature,0
2249.0,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord,Agence canadienne de développement économique du Nord,4,Canadian Northern Economic Development Agency,0
2308.0,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,Commission canadienne de sûreté nucléaire,2,Canadian Nuclear Safety Commission,0
3538.0,Canadian Pari-Mutuel Agency,Agence canadienne du pari mutuel,,,,0
3455.0,Canadian Partnership Against Cancer Corporation (CPAC),Partenariat canadien contre le cancer (PCC),,,,0
3456.0,Canadian Patient Safety Institute (CPSI),Institut canadien pour la sécurité des patients (ICSP),,,,0
3624.0,Canadian Race Relations Foundation,Fondation canadienne des relations raciales,,,,0
2396.0,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes,Conseil de la radiodiffusion et des télécommunications canadiennes,4,Canadian Radio-television and Telecommunications Commission,0
2250.0,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,Service canadien du renseignement de sécurité,i1,Canadian Security Intelligence Service,0
2251.0,Canadian Space Agency,Agence spatiale canadienne,Agence spatiale canadienne,4,Canadian Space Agency,0
3559.0,Canadian Special Operations Forces Command,Commandement des Forces d'opérations spéciales du Canada,,,,0
3457.0,Canadian Sport Institute Ontario,Institut canadien du sport Ontario,,,,0
3647.0,Canadian Tourism Commission,Commission canadienne du tourisme,Commission canadienne du tourisme,3,Canadian Tourism Commission,0
3560.0,Canadian Trade Commissioner Service,Service des délégués commerciaux du Canada,,,,0
2309.0,Canadian Transportation Accident Investigation and Safety Board,Bureau canadien d'enquête sur les accidents de transport et de la sécurité des transports,Bureau canadien d'enquête sur les accidents de transport et de la sécurité des transports,4,Canadian Transportation Accident Investigation and Safety Board,0
2252.0,Canadian Transportation Agency,Office des transports du Canada,Office des transports du Canada,4,Canadian Transportation Agency,0
3561.0,Canadian War Museum,Musée canadien de la guerre,,,,0
3522.0,"Canadian Wheat Board, The","Commission canadienne du blé, La",,,,0
3401.0,Caribbean Development Bank,Banque de développement des Caraïbes,,,,0
3523.0,Centre national multisport-Montréal,Centre national multisport – Montréal,,,,0
3458.0,Charlottetown Airport Authority Inc.,Charlottetown Airport Authority Inc.,,,,0
2290.0,Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada,Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada,4,Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,0
3459.0,Coaching Association of Canada,Association canadienne des entraîneurs,,,,0
3420.0,Commissioner of Canada Election,Commissaire aux élections fédérales,,,,0
3417.0,Communication Canada,Communication Canada,Communication Canada,4,Communication Canada,0
3562.0,Communications Research Centre Canada,Centre de recherches sur les communications Canada,,,,0
2253.0,Communications Security Establishment,Centre de la sécurité des télécommunications,Centre de la sécurité des télécommunications,i1,Communications Security Establishment,0
3563.0,Competition Bureau Canada,Bureau de la concurrence Canada,,,,0
3564.0,Competition Tribunal,Tribunal de la concurrence,,,,0
3545.0,Consulting and Audit Canada Revolving Fund,Fonds renouvelable de Conseils et Vérification Canada,,,,0
2254.0,Copyright Board,Commission du droit d'auteur,Commission du droit d'auteur,4,Copyright Board,0
3667.0,Corporation for the Mitigation of Mackenzie Gas Project Impacts,Société d'atténuation des répercussions du projet gazier Mackenzie,,,,0
2255.0,Correctional Service of Canada,Service correctionnel du Canada,Service correctionnel du Canada,4,Correctional Service of Canada,0
3565.0,Court Martial Appeal Court of Canada,Cour d'appel de la cour martiale du Canada,,,,0
2256.0,Courts Administration Service,Service administratif des tribunaux judiciaires,Service administratif des tribunaux judiciaires,4,Courts Administration Service,0
3652.0,Defence Construction (1951) Limited,Construction de Défense (1951) Limitée,Construction de défense (1951) Limitée,3,Defence Construction (1951) Limited,0
3540.0,Defence Research and Development Canada,Recherche et développement pour la défense Canada,,,,0
3566.0,Democratic Institutions,Institutions démocratiques,,,,0
2241.0,Department for Women and Gender Equality,Ministère des Femmes et de l'Égalité des genres,Ministère des Femmes et de l'Égalité des genres,1,Department for Women and Gender Equality,0
2222.0,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Ministère de l'Agriculture et de l'Agroalimentaire,1,Department of Agriculture and Agri-Food,0
2223.0,Department of Canadian Heritage,Ministère du Patrimoine canadien,Ministère du Patrimoine canadien,1,Department of Canadian Heritage,0
2224.0,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l'Immigration,Ministère de la Citoyenneté et de l'Immigration,1,Department of Citizenship and Immigration,0
2230.0,Department of Crown-Indigenous Relations and Northern Affairs,Ministère des Relations Couronne-Autochtones et des Affaires du Nord,Ministère des Relations Couronne-Autochtones et des Affaires du Nord,1,Department of Crown-Indigenous Relations and Northern Affairs,0
2229.0,Department of Employment and Social Development,Ministère de l'Emploi et du Développement social,Ministère de l'Emploi et du Développement social,1,Department of Employment and Social Development,0
2225.0,Department of Finance,Ministère des Finances,Ministère des Finances,1,Department of Finance,0
2226.0,Department of Fisheries and Oceans,Ministère des Pêches et des Océans,Ministère des Pêches et des Océans,1,Department of Fisheries and Oceans,0
2227.0,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Ministère des Affaires étrangères, du Commerce et du Développement",1,"Department of Foreign Affairs, Trade and Development",0
2228.0,Department of Health,Ministère de la Santé,Ministère de la Santé,1,Department of Health,0
2269.0,"Department of Housing, Infrastructure and Communities","Ministère du Logement, de l'Infrastructure et des Collectivités","Ministère du Logement, de l'Infrastructure et des Collectivités",1,"Department of Housing, Infrastructure and Communities",0
2243.0,Department of Indigenous Services,Ministère des Services aux Autochtones,Ministère des Services aux Autochtones,1,Department of Indigenous Services,0
2231.0,Department of Industry,Ministère de l'Industrie,Ministère de l'Industrie,1,Department of Industry,0
2232.0,Department of Justice,Ministère de la Justice,Ministère de la Justice,1,Department of Justice,0
2233.0,Department of National Defence,Ministère de la Défense nationale,Ministère de la Défense nationale,1,Department of National Defence,0
2234.0,Department of Natural Resources,Ministère des Ressources naturelles,Ministère des Ressources naturelles,1,Department of Natural Resources,0
2235.0,Department of Public Safety and Emergency Preparedness,Ministère de la Sécurité publique et de la Protection civile,Ministère de la Sécurité publique et de la Protection civile,1,Department of Public Safety and Emergency Preparedness,0
2236.0,Department of Public Works and Government Services,Ministère des Travaux publics et des Services gouvernementaux,Ministère des Travaux publics et des Services gouvernementaux,1,Department of Public Works and Government Services,0
2238.0,Department of Transport,Ministère des Transports,Ministère des Transports,1,Department of Transport,0
2239.0,Department of Veterans Affairs,Ministère des Anciens Combattants,Ministère des Anciens Combattants,1,Department of Veterans Affairs,0
2240.0,Department of Western Economic Diversification,Ministère de la Diversification de l'économie de l'Ouest canadien,Ministère de la Diversification de l'économie de l'Ouest canadien,1,Department of Western Economic Diversification,0
2237.0,Department of the Environment,Ministère de l'Environnement,Ministère de l'Environnement,1,Department of the Environment,0
3422.0,Director of Soldier Settlement,Directeur de l'établissement de soldats,Directeur de l'établissement de soldats,4,Director of Soldier Settlement,0
2257.0,Economic Development Agency of Canada for the Regions of Quebec,Agence de développement économique du Canada pour les régions du Québec,Agence de développement économique du Canada pour les régions du Québec,4,Economic Development Agency of Canada for the Regions of Quebec,0
3461.0,Edmonton Regional Airports Authority,Edmonton Regional Airports Authority,,,,0
3686.0,Employment Insurance Boards of Referees,Conseils arbitraux de l'assurance-emploi,,,,0
3424.0,Energy Supplies Allocation Board,Office de répartition des approvisionnements d'énergie,Office de répartition des approvisionnements d'énergie,4,Energy Supplies Allocation Board,0
3668.0,Enterprise Cape Breton Corporation,Société d'expansion du Cap Breton,,,,0
3568.0,Environmental Protection Review Canada,Révision de la protection de l'environnement Canada,,,,0
3603.0,Environmental Protection Tribunal of Canada,Tribunal de la protection de I'environnement du Canada,,,,0
3402.0,European Bank for Reconstruction and Development,Banque européenne pour la reconstruction et le développement,,,,0
3640.0,Export Development Canada,Exportation et développement Canada,Exportation et développement Canada,3,Export Development Canada,0
3616.0,Farm Credit Canada,Financement agricole Canada,Financement agricole Canada,3,Farm Credit Canada,0
3569.0,Federal Court of Appeal,Cour d'appel fédérale,,,,0
3570.0,Federal Court of Canada,Cour fédérale,,,,0
2299.0,Federal Economic Development Agency for Northern Ontario,Agence fédérale de développement économique pour le Nord de l'Ontario,Agence fédérale de développement économique pour le Nord de l'Ontario,4,Federal Economic Development Agency for Northern Ontario,0
2258.0,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario,4,Federal Economic Development Agency for Southern Ontario,0
3427.0,Federal Judges not part of any department,Juges fédéraux ne faisant pas partie d'un ministère,,,,0
2259.0,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada,Agence de la consommation en matière financière du Canada,i1,Financial Consumer Agency of Canada,0
2260.0,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,Centre d'analyse des opérations et déclarations financières du Canada,i1,Financial Transactions and Reports Analysis Centre of Canada,0
3524.0,First Nations Financial Management Board,Conseil de gestion financière des premières nations,,,,0
3669.0,First Nations Statistical Institute,Institut de la statistique des Premières nations,,,,0
3525.0,First Nations Tax Commission,Commission de la fiscalité des premières nations,,,,0
3462.0,Fredericton International Airport Authority Inc.,Fredericton International Airport Authority Inc.,,,,0
3638.0,Freshwater Fish Marketing Corporation,Office de commercialisation du poisson d'eau douce,Office de commercialisation du poisson d'eau douce,3,Freshwater Fish Marketing Corporation,0
3463.0,Gander International Airport Authority Inc.,Gander International Airport Authority Inc.,,,,0
3604.0,Geographical Names Board of Canada,La Commission de toponymie du Canada,,,,0
3605.0,Geological Survey of Canada,Commission géologique du Canada,,,,0
3606.0,Geomatics Canada,Géomatique Canada,,,,0
3670.0,Grain Appeal Tribunal,Tribunal d'appel pour les grains,,,,0
3656.0,Great Lakes Pilotage Authority,Administration de pilotage des Grands Lacs,Administration de pilotage des Grands Lacs,3,Great Lakes Pilotage Authority,0
3464.0,Greater London International Airport Authority,Greater London International Airport Authority,,,,0
3465.0,Greater Moncton International Airport Authority Inc.,Greater Moncton International Airport Authority Inc.,,,,0
3466.0,Greater Toronto Airports Authority,Autorité aéroportuaire du Grand Toronto,,,,0
3467.0,Halifax International Airport Authority,Administration de l'aéroport international d'Halifax,,,,0
3468.0,Halifax Port Authority,Administration portuaire d'Halifax,,,,0
3469.0,Hamilton Port Authority,Administration portuaire de Hamilton,,,,0
3671.0,Hazardous Materials Information Review Commission,Conseil de contrôle des renseignements relatifs aux matières dangereuses,,,,0
3526.0,Health Council of Canada,Conseil canadien de la santé,,,,0
3517.0,Healthcare Excellence Canada (HEC),Excellence en santé Canada (ESC),,,,0
3572.0,Historic Sites and Monuments Board of Canada,Commission des lieux et monuments historiques du Canada,,,,0
3428.0,House of Commons,Chambre des communes,,,,0
2261.0,Immigration and Refugee Board,Commission de l'immigration et du statut de réfugié,Commission de l'immigration et du statut de réfugié,4,Immigration and Refugee Board,0
2245.0,Impact Assessment Agency of Canada,Agence canadienne d'évaluation d'impact,Agence canadienne d'évaluation d'impact,4,Impact Assessment Agency of Canada,0
3573.0,Independent Review Panel for Defence Acquisition,Commission indépendante d'examen des acquisitions de la Défense,,,,0
3541.0,Indian Oil and Gas Canada,Pétrole et gaz des Indiens du Canada,Pétrole et gaz des Indiens Canada,5,Indian Oil and Gas Canada,0
3607.0,Indian Residential Schools Resolution Canada,Résolution des questions des pensionnats indiens Canada,,,,0
3672.0,Indian Residential Schools Truth and Reconciliation Commission,Commission de vérité et de réconciliation relative aux pensionnats indiens,,,,0
3546.0,Industrial Technologies Office,Office des technologies industrielles,,,,0
3470.0,Institut national du sport du Québec,Institut national du sport du Québec,,,,0
3403.0,Inter-American Development Bank,Banque interaméricaine de développement,,,,0
3574.0,Intergovernmental Affairs,Affaires intergouvernementales,,,,0
3471.0,Internal Trade Secretariat Corporation,Corporation du Secrétariat du commerce intérieur,,,,0
3404.0,International Bank for Reconstruction and Development,Banque internationale pour la reconstruction et le développement,,,,0
3527.0,International Centre for Human Rights and Democratic Development,Centre international des droits de la personne et du développement démocratique,,,,0
3405.0,International Development Association,Association internationale de développement,,,,0
3641.0,International Development Research Centre,Centre de recherches pour le développement international,,,,0
3406.0,International Finance Corporation,Société financière internationale,,,,0
3472.0,International Fisheries Commissions Pension Society,Société de caisse de retraite de la Commission internationale des pêcheries,,,,0
3407.0,International Joint Commission (Canadian Section),Commission mixte internationale (section canadienne),Commission mixte internationale (section canadienne),4,International Joint Commission (Canadian Section),0
3408.0,International Lake Memphremagog Levels Board,Commission internationale du lac Memphrémagog,,,,0
3409.0,International Lake of the Woods Control Board,Conseil international de contrôle du lac des Bois,,,,0
3410.0,International Monetary Fund,Fonds monétaire international,,,,0
3673.0,Inuvialuit Arbitration Board,Commission d'arbitrage des Inuvialuit,,,,0
2317.0,Invest in Canada Hub,Investir au Canada,Investir au Canada,2,Invest in Canada Hub,0
3412.0,Joint Public Advisory Committee (JPAC) of the Commission for Environmental Cooperation (CEC),Comité consultatif public mixte (CCPM) de la Commission de coopération environnementale (CCE),,,,0
3575.0,Judicial Compensation and Benefits Commission,Commission d'examen de la rémunération des juges,,,,0
3473.0,Lake of the Woods Control Board,Commission de contrôle du lac des Bois,,,,0
3531.0,Last Post Fund,Fonds du Souvenir,,,,0
3657.0,Laurentian Pilotage Authority,Administration de pilotage des Laurentides,Administration de pilotage des Laurentides,3,Laurentian Pilotage Authority,0
2310.0,Law Commission of Canada,Commission du droit du Canada,Commission du droit du Canada,4,Law Commission of Canada,0
3577.0,Leader of the Government in the House of Commons,Leader du gouvernement à la Chambre des communes,,,,0
2296.0,Leaders' Debates Commission,Commission des débats des chefs,Commission des débats des chefs,i1,Leaders' Debates Commission,0
2262.0,Library and Archives of Canada,Bibliothèque et Archives du Canada,Bibliothèque et Archives du Canada,4,Library and Archives of Canada,0
3429.0,Library of Parliament,Bibliothèque du Parlement,,,,0
