gc_orgID,rg,harmonized_name,nom_harmonisé,Abbreviation,Abreviation,infobaseID,website,site_web,open_gov_ouvert,ati,pop,phoenix
2251,119,Canadian Space Agency,Agence spatiale canadienne,CSA,ASC,95,www.asc-csa.gc.ca,www.asc-csa.gc.ca,csa-asc,Canadian Space Agency,CSA,CSA00
2252,40,Canadian Transportation Agency,Office des transports du Canada,CTA,OTC,99,https://www.otc-cta.gc.ca/eng,https://www.otc-cta.gc.ca/fra,cta-otc,Canadian Transportation Agency,ATN,ATN00
2253,165,Communications Security Establishment Canada,Centre de la sécurité des télécommunications Canada,CSE,CST,110,www.cse-cst.gc.ca,www.cse-cst.gc.ca,csec-cstc,Communication Security Establishment,CSE,CSE00
2254,116,Copyright Board Canada,Commission du droit d'auteur Canada,CB,CDA,114,https://cb-cda.gc.ca/en,https://cb-cda.gc.ca/fr,cb-cda,Copyright Board Canada,COP,COP00
2255,53,Correctional Service Canada,Service correctionnel Canada,CSC,SCC,117,www.canada.ca/correctional-service,www.canada.ca/service-correctionnel,csc-scc,Correctional Service of Canada,PEN,PEN00
2256,144,Courts Administration Service,Service administratif des tribunaux judiciaires,CAS,SATJ,118,www.cas-satj.gc.ca,www.cas-satj.gc.ca,cas-satj,Not Found,CAJ,CAJ00
2257,12,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec,CED,DEC,141,www.dec-ced.gc.ca,www.dec-ced.gc.ca,ced-dec,Economic Development Agency of Canada for the Regions of Quebec,FRD,FRD00
2258,62,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario,FedDev Ontario,FedDev Ontario,150,www.feddevontario.gc.ca,www.feddevontario.gc.ca,feddevontario,Federal Economic Development Agency for Southern Ontario,ESO,ESO00
2259,141,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada,FCAC,ACFC,151,www.fcac.gc.ca,www.acfc.gc.ca,fcac-acfc,Financial Consumer Agency of Canada,FNA,FNA00
2260,139,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,FINTRAC,CANAFE,152,www.fintrac-canafe.gc.ca,www.canafe-fintrac.gc.ca,fintrac-canafe,Financial Transactions and Reports Analysis Centre of Canada,CFC,CFC00
2261,32,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada,IRB,CISR,174,www.irb-cisr.gc.ca,www.cisr-irb.gc.ca,irb-cisr,Immigration and Refugee Board,IRB,IRB00
2262,145,Library and Archives Canada,Bibliothèque et Archives Canada,LAC,BAC,199,library-archives.canada.ca,bibliotheque-archives.canada.ca,lac-bac,Library and Archives of Canada,BAL,BAL00
2263,138,Military Grievances External Review Committee,Comité externe d'examen des griefs militaires,MGERC,CEEGM,209,www.canada.ca/en/military-grievances-external-review.html,www.canada.ca/fr/externe-examen-griefs-militaires.html,mgerc-ceegm,Military Grievances External Review Committee,FCG,FCG00
2264,137,Military Police Complaints Commission of Canada,Commission d'examen des plaintes concernant la police militaire du Canada,MPCC,CPPM,210,www.mpcc-cppm.gc.ca,www.mpcc-cppm.gc.ca,mpcc-cppm,Military Police Complaints Commission,CPM,CPM00
2265,,Farm Products Council of Canada,Conseil des produits agricoles du Canada,FPCC,CPAC,222,www.fpcc-cpac.gc.ca,www.fpcc-cpac.gc.ca,fpcc-cpac,Farm Products Council of Canada,FPN,
2266,39,National Film Board,Office national du film,NFB,ONF,223,www.onf-nfb.gc.ca,www.onf-nfb.gc.ca,nfb-onf,National Film Board of Canada,NFB,NFB00
2267,57,Parole Board of Canada,Commission des libérations conditionnelles du Canada,PBC,CLCC,227,www.canada.ca/en/parole-board.html,www.canada.ca/fr/commission-liberations-conditionnelles.html,pbc-clcc,Parole Board of Canada,NPB,NPB00
2268,66,Northern Pipeline Agency Canada,Administration du pipe-line du Nord Canada,NPA,APN,235,https://northern-pipeline.canada.ca/home,https://pipe-line-nord.canada.ca/accueil,npa-apn,Northern Pipeline Agency Canada,NPA,
